duration,date,subjectcode,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,b,c,d,e,f,g,h,i,j,k,l,m,comments,RandA,RandAA,RandB,RandBB,RandC,RandCC,RandD,RandDD
249,10/11/19 8:05,R_21dpDklUTRrsP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
327,10/11/19 8:06,R_RDlZ26um59JZ1dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
341,10/11/19 8:06,R_sbBeHKMk0Zu1iwx,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,,2,17,7,12,8,11,13,6
332,10/11/19 8:06,R_3dZaTtDTlTz9Y9M,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,Nothing.,2,17,7,12,8,11,13,6
345,10/11/19 8:07,R_3HS55cauxmrdtWw,1,2,20,0,1,0,3,0,0,20,0,1,0,3,0,0,20,0,1,0,3,0,0,20,0,1,0,3,0,0,20,0,1,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
305,10/11/19 8:07,R_2Pn9ZKGiiwbyDKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
360,10/11/19 8:07,R_brQ5Mmg1bjJauHv,0,2,20,0,0,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,2,0,19,20,0,0,0,3,0,0,20,0,0,0,3,No,2,17,7,12,8,11,13,6
399,10/11/19 8:07,R_1LtXmbMoZXBNi5W,0,2,20,0,1,0,2,0,7,20,0,1,0,2,0,8,20,0,1,0,2,0,13,20,0,1,0,3,0,19,20,0,1,0,2,0,0,20,0,1,0,2,no,2,17,7,12,8,11,13,6
353,10/11/19 8:07,R_UJU0BymzoLzyppL,0,17,20,0,1,1,2,0,7,20,0,1,0,2,0,8,20,0,1,0,2,20,13,20,0,1,0,2,0,19,20,0,1,0,2,0,0,19,0,1,0,2,No,2,17,7,12,8,11,13,6
316,10/11/19 8:07,R_2w6KE1rYtZbdTeE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,2,17,7,12,8,11,13,6
429,10/11/19 8:08,R_pzRETjnh8tn0Uhj,0,2,19,0,1,0,3,0,7,19,0,1,0,3,0,8,19,0,1,0,3,0,13,19,0,1,0,3,0,19,19,0,1,0,3,0,4,19,0,1,0,3,No,2,17,7,12,8,11,13,6
368,10/11/19 8:08,R_2uDjfYslN5WSC2Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
448,10/11/19 8:08,R_2YhSReu9nU7VtDu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just seemed repetitive ,2,17,7,12,8,11,13,6
446,10/11/19 8:08,R_eXoRFfxIo6UnmkF,0,2,20,0,1,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,3,0,19,20,0,0,0,3,0,0,20,0,1,0,3,No.,2,17,7,12,8,11,13,6
284,10/11/19 8:08,R_3iWJJIAdF9qJSWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
435,10/11/19 8:08,R_3iwn4UST4G9XxxE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing,2,17,7,12,8,11,13,6
392,10/11/19 8:08,R_1GCU92k4WMJWrSm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing,2,17,7,12,8,11,13,6
397,10/11/19 8:09,R_2xAlL9jWc1IVv4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Everything was clear and presented well.,2,17,7,12,8,11,13,6
405,10/11/19 8:09,R_07csscR1MnMV26d,0,2,20,0,1,0,3,0,7,20,7,1,0,2,0,8,20,0,1,0,3,0,0,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
459,10/11/19 8:09,R_2ZKMTbmGAsZDsOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2,17,7,12,8,11,13,6
483,10/11/19 8:09,R_2e9bFvVelDj2Sxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nope, it was clear. I hope John's neighbors aren't liars.",2,17,7,12,8,11,13,6
508,10/11/19 8:09,R_2zd3yTeIlBJc5pS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
273,10/11/19 8:09,R_1li5U9XPlztfk71,0,2,20,0,0,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,3,0,19,20,0,0,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
491,10/11/19 8:09,R_3k0oyPUhoifeNn8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, the survey was clear.",2,17,7,12,8,11,13,6
421,10/11/19 8:09,R_37XkwKygulLMWpr,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
