duration,date,subjectcode,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,b,c,d,e,f,g,h,i,j,k,l,m,comments
120,10/13/19 15:24,R_3Gy02qzoAzggXsF,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,-50,-50,20,,,,,,,,,,,,,,,no
118,10/13/19 15:24,R_28OPKjyzMbmp68Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,38,17,24,-23,-19,20,No 
154,10/13/19 15:25,R_1242dSv3rHlrk7L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,30,32,-11,-29,20,NO
210,10/13/19 15:25,R_2zwGi4vhK69vOEo,50,42,-31,-36,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"There's a few grammatical errors, but otherwise it was quite clear."
247,10/13/19 15:26,R_CjZ2BLe5sjWx4DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,40,30,25,-45,-37,20,yes
211,10/13/19 15:26,R_1OHxqlg2hHnlpuo,,,,,,,,50,21,-30,-18,-40,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
277,10/13/19 15:26,R_3dKVUG6D528NpF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,-23,-31,-41,-50,20,,,,,,,,it was clear 
288,10/13/19 15:27,R_12xnx8H3WrgVNHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,10,-50,-50,20,,,,,,,,no
253,10/13/19 15:27,R_3OlELUY1774rD7x,,,,,,,,,,,,,,,,,,,,,,41,45,38,44,23,50,20,,,,,,,,,,,,,,,clear
179,10/13/19 16:48,R_24O57MuCtaBA1rT,,,,,,,,,,,,,,,20,7,-20,-20,-25,-35,20,,,,,,,,,,,,,,,,,,,,,,no
59,10/15/19 22:20,R_bkmmFGI8cE7qcU1,42,39,45,45,35,38,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing
78,10/15/19 22:21,R_27yzw4FZ9Ufretx,,,,,,,,,,,,,,,,,,,,,,50,42,33,22,-50,-50,20,,,,,,,,,,,,,,,no
86,10/15/19 22:22,R_2wso9hDIHKaWVMB,,,,,,,,39,42,39,39,40,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
161,10/15/19 22:22,R_3qxGjQDfIOeKsmu,,,,,,,,,,,,,,,50,46,-8,-10,-22,-10,20,,,,,,,,,,,,,,,,,,,,,,
215,10/15/19 22:23,R_3nfkEWNALtblhgR,,,,,,,,10,30,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
140,10/15/19 22:23,R_21zH1BHS5UBV2pU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,43,17,7,-29,-50,20,,,,,,,,"No, it was all pretty straight forward"
98,10/15/19 22:23,R_1IzTgyqH2hW8xen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,33,37,42,32,13,,,,,,,,nothing
232,10/15/19 22:23,R_DHPiB9g3gGbiMtX,,,,,,,,,,,,,,,,,,,,,,2,-4,-12,-18,7,-29,20,,,,,,,,,,,,,,,Just alot of back and forrth about who fishes using different hooks.
195,10/15/19 22:23,R_2c1I0ISsDJCjzIQ,2,1,-16,-12,-35,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
180,10/15/19 22:23,R_2YFyevF4UoF2aXb,,,,,,,,,,,,,,,50,40,43,35,30,20,20,,,,,,,,,,,,,,,,,,,,,,no
178,10/15/19 22:24,R_2tD4qorMUEqeJuv,,,,,,,,,,,,,,,,,,,,,,-2,-5,-9,-10,-17,-20,20,,,,,,,,,,,,,,,"No, just repeating stuff"
252,10/15/19 22:24,R_26mzUWQzLME31Vw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,7,7,-19,-28,20,,,,,,,,No
154,10/15/19 22:24,R_2tJSqK62UfK8jGo,,,,,,,,,,,,,,,43,26,-31,-18,-43,-44,20,,,,,,,,,,,,,,,,,,,,,,No
39,10/15/19 22:24,R_1LSXb3JuoMzHwkw,6,-25,-7,-5,-9,-9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,10/15/19 22:24,R_WuGFcM805jaBAuR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,44,20,14,-29,-50,20,,,,,,,,No
174,10/15/19 22:24,R_0PWXUHG6DV3Zh4Z,-5,-11,-25,-25,-27,-30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, No
219,10/15/19 22:24,R_BXHt70oRZ9JrDln,,,,,,,,42,24,-10,-19,-22,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The amount of fish that the new hooks would catch
172,10/15/19 22:24,R_2w0K2c8zYjApqAj,,,,,,,,21,10,-5,-11,-38,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
139,10/15/19 22:25,R_3EhdtS8EFLqHJtn,16,26,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
