duration,data,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,age,gender,race,ethnicity,education,comments
124,7/2/19 10:49,R_1BRTsaBadtb9HSk,There would be no real impact on the lake.,There would be no more water in the lake and the fish would die.,Mary wants to make her castle wet.,0,0,1,"Nobody else really wants to do it, so it wouldn't impact.",,He wanted to add some rocks to his rock collection.,1,There wouldn't be an impact on the path.,The path would have no more rocks.,0,0,0,,"I think that since the rocks are finite, it's not right to take one.",,,,,,,,,,,,,,,,,,32,1,5,2,1,
137,7/2/19 10:49,R_4Ph1iYNEGcjtSdr,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her toy castle. ,1,Plenty of water left,no water left ,0,0,0,,Because if she does it then other will and there will be no water left.,Plenty of rocks left,No more rocks ,Take rocks from the path,0,0,0,,Because if he takes the rock other people might want to as well. ,24,1,2,2,3,No
148,7/2/19 10:50,R_XSpQxsqW6UBq01z,There would be plenty left for the fish,There would be no more water for the fish,Put water on her castle,0,0,1,She does it just once which wont harm the fish,,Take a rock for his collection,1,Plenty of rocks left for path,No rocks left for path,0,0,1,There will still be plenty of rocks,,,,,,,,,,,,,,,,,,,41,2,5,2,3,
165,7/2/19 10:50,R_1LZNLXhVOTB4wrv,nothing,the fish will run out of water,take water,0,0,1,she's the only one that wants to,,take a rock,1,nothing,no rocks left,0,0,1,he's the only one to take a rock this time,,,,,,,,,,,,,,,,,,,28,2,6,2,3,n/a
101,7/2/19 10:50,R_qC908dEaEUzvIit,good,good,take water,1,0,1,ok,,rock collection,1,good,good,1,1,1,yes,,,,,,,,,,,,,,,,,,,39,1,2,2,2,no
176,7/2/19 10:50,R_3IQMtRmFIkr3Ucx,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle.,0,there will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,1,Because if one person does it there will be plenty of water left.,,there would still be plenty of rocks,there would be no more rocks left,take rocks from the path,0,1,1,there will be plenty left,,44,1,5,2,2,no
134,7/2/19 10:50,R_1NksbgINp8TVi22,There would be plenty left for the fish,there would be no more water in the lake ,take a bucket of water from the lake,0,0,1,she is the only one doing it so there will be plenty left,,take a rock from the path for his collection,1,there would be plenty left,there would be no rocks left,0,0,1,no one will know,,,,,,,,,,,,,,,,,,,35,2,5,2,4,no
172,7/2/19 10:50,R_1etJWM7ZNWgAG4T,There would be plenty of water left for the fish.,There would be no more water in the lake for the fish. ,Take water from the lake. ,0,0,1,There will still be plenty of water left for the fish. ,,Take a rock from the path and put it in his rock collection. ,1,There would still be plenty of rocks left on the path. ,There would be no more rocks left on the path. ,0,0,0,,It's not fair that none of the other kids get to take rocks from the path.,,,,,,,,,,,,,,,,,,20,2,5,2,2,no
186,7/2/19 10:50,R_1nO6tZefT2SbaYI,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,0,,Because it sets a dangerous precedence for the future ,there would still be plenty of rocks left on the path,then there would be no more rocks left on the path,take a rock from the path for his collection,0,0,1,Because there will still be plenty of other rocks,,29,1,5,2,1,no
171,7/2/19 10:51,R_xrN9n49qzU4aUIF,Some water would remain.,No water would remain.,Take water from the lake.,0,0,1,Its just a little water and more will replenish what she takes quickly.,,Jacob wants to take rocks from the path and add them to his collection.,1,Some would remain.,None would remain.,0,0,0,,Because it would be unfair to others.,,,,,,,,,,,,,,,,,,26,1,5,2,3,no
204,7/2/19 10:51,R_27x9EOYrfmFU55p,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle.,1,If just one person takes water from the lake there will still be plenty of water left for the fish.  ,"If everyone takes water from the lake, then there would be no more water in the lake for the fish.",0,0,1,"They will find out once she comes back with the water & none of them will have to go get water so the problem will be solved., ",," If just one person took a rock for his rock collection, there would still be plenty of rocks left on the path.","If everyone took the rocks for their rock collections, then there would be no more rocks left on the path.",Take the rocks. ,0,0,0,,the other kids won't like him for doing something they don't wanna do ,35,1,5,2,3,
155,7/2/19 10:51,R_21AMno6g0mNRDWo,,,,,,,,,,,,,,,,,,fill her bucket with water and pour it on her toy castle,1,there'd be plenty of water left for the fish,there'd be no water left for the fish,0,0,0,,"then others will do it, and there will be no water left for the fish",there'd be plenty of rocks left for the path,there'd be no rocks left for the path,take rocks,0,0,1,"no one else wants to take rocks, so the path would be preserved",,20,2,5,2,2,no
158,7/2/19 10:51,R_3fGACrLfXNwoVkQ,there will be plenty of water left for the fish,there would be no more water in the lake for the fish,take water from the lake,0,0,1,She's the only one doing it.,,take a rock from the path,1,there would still be plenty of rocks left on the path, there would be no more rocks left on the path,0,0,1,He's the only one.,,,,,,,,,,,,,,,,,,,34,2,5,2,4,no
213,7/2/19 10:51,R_3iEXANsKgJBIjly,,,,,,,,,,,,,,,,,, fill a bucket with water from the lake and pour it on her toy castle,1,There will still be water for the fish,There would be no more water for the fish,0,0,0,,Because just because no one sees her do it does not mean its not wrong to do it still.,there would still be plenty of rocks left on the path,there would be no more rocks left on the path,Take rocks from the path,0,0,1,Because he is the only one doing it so there will be no harm done,,22,1,2,2,2,No it was very clear
211,7/2/19 10:51,R_3meiDr3wtEjJgEl,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,Take water from the lake.,0,0,1,Because she's the only one doing so.,,Take a rock for his collection.,1,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path. ,0,0,1,He's the only one taking rocks.,,,,,,,,,,,,,,,,,,,30,1,5,2,3,No.
204,7/2/19 10:51,R_26nGekvzWGV4h70,There will still be plenty of water left for the fish,There would be no more water in the lake for the fish.,She wants to put water on her castle.,0,0,1,It's not going to hurt anything.,,He wants to take a rock from the past for his rock collection.,1,There would still be plenty of rocks left on the path. ,There would be no more rocks left on the path. ,0,0,1,It's not going to hurt anything.,,,,,,,,,,,,,,,,,,,30,2,5,2,3,No
186,7/2/19 10:51,R_R8EJH4mSNVMgjLj,There would still be plenty of water in the lake,There would not be enough water for the fish,Take water from the lake,0,0,1,She is not depriving anyone of anything and not taking something that others cannot.,,He wants to take rocks from the path for his collection,1,There would still be plenty of rock,There would not be any rocks left on the path,0,0,0,,He would be taking something while the rest of the group would not be able to.,,,,,,,,,,,,,,,,,,30,1,5,2,3,
149,7/2/19 10:51,R_zduaS3xuGoLEcFj,there would be plenty left,no water left for the fish,take water from the lake,0,0,1,because nobody else wanted to anyway,,take rocks from the path for his collection,1,there would be enough left on the path,no rocks left on the path,0,0,1,because nobody else took one and nobody saw him do it,,,,,,,,,,,,,,,,,,,42,1,5,2,2,no
