duration,date,subjectcode,Abacus,Abanet,Abanga,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,Acidly,Acinus,Acnode,Acrasy,Acrisy,Acrita,Acrity,Across,Action,Acture,Acuity,Acumen,Adarce,Adatis,Adders,Addice,Addict,Adesmy,Adipsy,Admins,Adnoun,Adobes,Adonai,Adonic,Adonis,Adorer,Advent,Adverb,Advice,Adviso,Adward,Adytum,Aedile,Aeneid,b,c,d,comments,condition
52,4/27/20 15:46,R_3ErRF21oMcxC9EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,NO,5
156,4/27/20 15:47,R_3qxPcnDrErZlkVQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,4
125,4/27/20 15:47,R_2rCNrGPAQPIb2UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,no,6
151,4/27/20 15:49,R_RVsgL8dG69zXKRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
244,4/27/20 15:49,R_295hSt25WuAp7zH,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,9
290,4/27/20 15:49,R_1ihDuRRIV2O7dr5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,"Everything was clear and understood, thank you!",7
282,4/27/20 15:50,R_8oC9H4Jh2S7b4Fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,20,0,1,0,1,No,8
165,4/27/20 15:50,R_2XaptSf5atjMp3h,,,,,,,,,,,,,,,20,3,20,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,9
210,4/27/20 15:50,R_qVGvC59epVDIsjT,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1
179,4/27/20 15:50,R_ZkMHMqAty3NWbux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35900,23000,40000,45000,1,1,1,,,,,,,,,,,,,,,nothing,6
217,4/27/20 15:50,R_afRa9Syv6iiTXm9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,5
291,4/27/20 15:51,R_2QSN8eTzgVKQyyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,4
152,4/27/20 15:51,R_12Gz0Aw8ZUD8Rua,,,,,,,,20,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing was confusing.,2
359,4/27/20 15:51,R_1LY9LS1mfsLQC2n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3
