subjectnumber,dob,dot,age,excluded,reason,notes,screen1,screen2,screen2b,screen3,screen3b,screen4,screen5,story,order,condition,pilotversion,control1,control2,control3,control4,control5,control6,moral,explain
1,9/12/14,6/11/19,4.747945205,0,,,,,,,,,,Bucket,2,Low,6/11/19,,,0,0,0,0,0,
1,9/12/14,6/11/19,4.747945205,0,,,,,,,,,,Canoe,1,High,6/11/19,,,1,1,1,1,0,
1,9/12/14,6/11/19,4.747945205,1,Incomplete,,,,,,,,,Flower,3,High,6/11/19,,,1,0,0,0,,
1,9/12/14,6/11/19,4.747945205,0,,,,,,,,,,Seashells,4,Low,6/11/19,,,1,0,,,0,
2,10/2/12,6/11/19,6.693150685,1,Incomplete,,,,,,,,,Bucket,,,6/11/19,,,,,,,,
3,5/8/14,6/11/19,5.095890411,0,,,,,,,,,,Bucket,2,High,6/11/19,,,1,1,0,0,1,It's not too much.
3,5/8/14,6/11/19,5.095890411,0,,,,,,,,,,Flower,1,Low,6/11/19,,,1,0,0,0,1,No one will see her.
3,5/8/14,6/11/19,5.095890411,0,,,,,,,,,,Seashells,3,Low,6/11/19,,,1,0,0,0,1,No one will see him. 
4,1/31/15,6/12/19,4.364383562,0,,,,,,,,,,Flowers,2,High,6/12/19,,,1,1,0,,0,NA
4,1/31/15,6/12/19,4.364383562,0,,,,,,,,,,Lake,1,High,6/12/19,,,1,1,0,,0,no more water left in the lake
4,1/31/15,6/12/19,4.364383562,0,,,,,,,,,,Seashells,3,Low,6/12/19,,,1,0,0,0,0,NA
5,2/21/12,6/12/19,7.309589041,0,,,,,,,,,,Buckets,1,Low,6/12/19,,,1,0,0,0,0,The other fish in the lake wouldn't have water
5,2/21/12,6/12/19,7.309589041,0,,,,,,,,,,Flowers,2,High,6/12/19,,,1,1,0,0,0,"It would be bad for the flower, alsi it might be someone else's property"
5,2/21/12,6/12/19,7.309589041,0,,,,,,,,,,Seashells,3,High,6/12/19,,,1,,0,0,0,The beach won't be as pretty
6,12/15/12,6/12/19,6.493150685,0,,,,,,,,,,Flower,2,Low,6/12/19,,,,0,0,0,0,The flowers need to stay there so they can grow bigger
6,12/15/12,6/12/19,6.493150685,0,,,,,,,,,,Lake,1,High,6/12/19,,,1,1,0,0,0,There needs to be water for the fish
6,12/15/12,6/12/19,6.493150685,0,,,,,,,,,,Seashells,3,Low,6/12/19,,,,1,0,0,0,There will be no more on the beach
7,4/1/13,6/12/19,6.2,0,,,,,,,,,,Buckets,1,Low,6/12/19,,,1,0,0,0,0,Okay if she took a little water but not okay if she took too much
7,4/1/13,6/12/19,6.2,0,,,,,,,,,,Sandbox,3,Low,6/12/19,,,1,0,0,0,0,It will make a mess if he takes it home
7,4/1/13,6/12/19,6.2,0,,,,,,,,,,Seashells,2,Low,6/12/19,,,1,0,0,0,0,N/A (didn't hear)
8,5/23/12,6/12/19,7.057534247,0,,,,,,,,,,Buckets,4,Low,6/12/19,,,1,0,0,,0,"The water is not hers, it's the fish's"
8,5/23/12,6/12/19,7.057534247,0,,,,,,,,,,Rocks,2,Low,6/12/19,,,,0,0,0,0,There's not that much left
8,5/23/12,6/12/19,7.057534247,0,,,,,,,,,,Sandbox,3,High,6/12/19,,,1,1,0,0,0,"If no one saw him, then he'll probably keep taking sand"
8,5/23/12,6/12/19,7.057534247,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,,0,0,0,1,There would still be some left
9,5/19/14,6/12/19,5.068493151,0,,Said not okay to both of initial questions,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,,0,
10,12/7/10,6/12/19,8.517808219,0,,,,,,,,,,Buckets,4,High,6/12/19,,,1,1,0,,0,The fish like the water and she can probably fill water from home
10,12/7/10,6/12/19,8.517808219,0,,,,,,,,,,Rocks,2,High,6/12/19,,,1,1,0,0,0,Everyone else wants the path to stay there
10,12/7/10,6/12/19,8.517808219,0,,,,,,,,,,Sandbox,3,Low,6/12/19,,,1,0,0,,1,The other kids don't like it that much
10,12/7/10,6/12/19,8.517808219,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,0,1,There's plenty of other shells
11,1/4/11,6/12/19,8.44109589,0,,,,,,,,,,Rocks,3,Low,6/12/19,,,1,0,0,0,1,The other kids don't want the rocks
11,1/4/11,6/12/19,8.44109589,1,,,,,,,,,,Sandbox,2,High,6/12/19,,,1,1,,0,,
11,1/4/11,6/12/19,8.44109589,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,0,1,None of the other kids want them
11,1/4/11,6/12/19,8.44109589,0,,,,,,,,,,Twigs,4,High,6/12/19,,,1,1,0,0,0,The other kids want the twigs
12,11/9/14,6/12/19,4.591780822,0,,,,,,,,,,Rocks,2,Low,6/12/19,,,1,0,0,0,0,"There will be no more rocks, because everyone will take them"
12,11/9/14,6/12/19,4.591780822,0,,,,,,,,,,Sandbox,3,Low,6/12/19,,,1,0,0,0,0,Other kids will take more
12,11/9/14,6/12/19,4.591780822,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,0,0,There will be no more seashells
13,9/26/13,6/12/19,5.712328767,0,,,,,,,,,,Rocks,2,High,6/12/19,,,1,1,0,0,0,the kids might find out and then they would grab it from him and put it back
13,9/26/13,6/12/19,5.712328767,0,,,,,,,,,,Sandbox,3,Low,6/12/19,,,1,0,0,0,0,somebody might see him and put it back and tell the teacher
13,9/26/13,6/12/19,5.712328767,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,0,0,nobody else has a seashell and if he takes two then when other kids come to the beach they will get sad
14,1/17/15,6/12/19,4.402739726,0,,,,,,,,,,Rocks,2,Low,6/12/19,,,1,0,0,0,0,rocks are heavy only big ones ... but it would be okay to take small ones because they're not heavy
14,1/17/15,6/12/19,4.402739726,0,,,,,,,,,,Sandbox,3,,6/12/19,,,1,0,0,0,0,the sand is too messy and if you put water in it's even messier
14,1/17/15,6/12/19,4.402739726,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,0,0,There are animals inside them and when you put them in the sink it will pop out and it will be bad for the animal
15,2/25/15,6/12/19,4.295890411,0,,,,,,,,,,Rocks,2,Low,6/12/19,,,1,0,0,0,0,he might throw them and that will hurt everybody
