subjectnumber,condition,context,judgment,justification,fairness,no.bad.impact,bad.impact,once,chain.reaction,others.want,secret,agreement,resource,universalization,virtues
102,Low,Rocks,0,It might collapse.,,,1,,,,,,,,
R_1l9ojTRYjMjYj44,Low,Buckets,1,It not like she is destorying the fishes habitat,,,,,,,,,,,
R_3lxlQ7yt3N9AD6z,High,Rocks,0,It sounds like Jacob and his friends agreed not to take rocks. Just because no one will see him doesn't mean it is OK to do. What if the other kids all end up in a similar situation and they all take a rock thinking they are the only ones taking rocks and no one is seeing them? Then the path would have no rocks.,,,,,,,3,2,1,1,
R_2q7Bq7TJ2ItkKof,Low,Rocks,0,"It will become a habit and this habit disrupts the landscape. Taking bits here and there, while maybe not noticeable, destroys the specific biome/environment a bit at a time.",,,1,,1,,,,1,,
R_0iD6kXezkA0B3Db,High,Buckets,0,It will deplete the lake if people take from it.,,,1,,,,,,1,,
R_2TGIpXWHjz9Gy5L,Low,Buckets,0,it will hurt the fish,,,1,,,,,,,,
158,High,Buckets,0,It will run out of water.,,,1,,,,,,,,
74,High,Buckets,0,It will still leak out,,,1,,,,,,,,
R_3qwVcxPDeEdroO5,Low,Rocks,1,it won't affect anything and nobody else wants to do it.,,1,,,,1,,,,,
R_3qwVcxPDeEdroO5,High,Buckets,1,It won't affect this fish and nobody will know.,,1,,,,,,,,,
R_XXoY7ZJnEK3gOlj,Low,Buckets,1,it won't be notice,,1,,,,,,,,,
R_2tEhqBCIhegIPRy,High,Buckets,1,It won't hurt the fish,,1,,,,,,,,,
R_30poatZC6sfmjv8,Low,Buckets,1,It wont affect the fish,,1,,,,,,,,,
R_3EygiPagwGlNy6T,High,Buckets,1,it wont hurt anything,,1,,,,,,,,,
R_1JDAYfWhf08HHFA,High,Buckets,0,"It would be a fairness issue for the other kids. She may tell others what she did and they would have the same idea. If the lake couldn't replenish its water before other kids took it, the same issue with not enough water being present for the fish would occur.",1,,1,,1,,,,,,
