duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,comments
105,4/27/20 16:30,R_2wvtWvQPcresdak,,,,,,,,0,19,20,0,1,0,3,no
154,4/27/20 16:31,R_2qz4VCL8IvTwepU,,,,,,,,0,0,20,0,0,0,3,No
161,4/27/20 16:32,R_1oGNKcNerOiB3IA,,,,,,,,0,19,20,0,1,0,3,no
186,4/27/20 16:33,R_1FFyAJn5W68MYDh,0,19,20,0,1,0,3,,,,,,,,no
125,4/27/20 16:33,R_ZESR0lAlWgmCobT,,,,,,,,0,0,20,0,1,0,3,"No, very clear.  "
129,4/27/20 16:34,R_3HjDu7LQcLcRccx,3,5,20,20,1,1,2,,,,,,,,no
201,4/27/20 16:35,R_27xnvKNDRHPp0A1,0,19,20,0,1,0,3,,,,,,,,no
139,4/27/20 16:35,R_27TZ799Drh3Kdiq,,,,,,,,0,19,20,0,1,0,3,No
273,4/27/20 16:35,R_22KvxpXobslDVpm,19,0,20,0,0,0,3,,,,,,,,no
195,4/27/20 16:36,R_AhyGggmlhd6XWAF,0,19,20,0,1,0,3,,,,,,,,No.
233,4/27/20 16:37,R_1LBtbmmzo2jRSPb,,,,,,,,0,19,20,0,1,0,3,No.
521,4/27/20 16:37,R_2XjvYwq0v2ytnWM,19,19,20,0,0,0,2,,,,,,,,No
165,4/27/20 16:38,R_1fm9ExzFEkh0Qrw,,,,,,,,0,19,20,0,1,0,3,no 
163,4/27/20 16:38,R_3qWHN9j8UWadOKG,,,,,,,,1,19,20,0,1,0,3,No
169,4/27/20 16:38,R_1hL2EkhWoUmorRj,0,19,20,0,0,0,2,,,,,,,,No
261,4/27/20 16:40,R_2cwNOCWsvD40vjX,0,19,20,0,0,0,2,,,,,,,,no
100,4/27/20 16:40,R_2PotagqHE3zo2rC,19,19,20,0,0,0,2,,,,,,,,no
184,4/27/20 16:40,R_1PdYPrByVkOLp7R,,,,,,,,0,19,20,0,1,0,3,no
182,4/27/20 16:40,R_e2RhMTGMIx6e7v3,,,,,,,,0,19,20,0,1,0,3,no
76,4/27/20 16:41,R_2QRoRL32DVitkfH,,,,,,,,3,3,6,3,1,1,2,good
148,4/27/20 16:41,R_PtAFpOcm9sXF3tT,0,0,20,0,0,0,2,,,,,,,,no
108,4/27/20 16:41,R_2Y3d1TMREZsRZbJ,,,,,,,,2,4,3,1,1,1,2,"Disadvantages. The reliability of survey data may depend on the following factors: Respondents may not feel encouraged to provide accurate, honest answers. ... Survey question answer options could lead to unclear data because certain answer options may be interpreted differently by responden"
351,4/27/20 16:41,R_1Ov6fmZrKihJrjA,0,19,20,0,0,0,3,,,,,,,,no
110,4/27/20 16:42,R_ctGpt4m4hR8WZtD,0,19,20,0,1,0,1,,,,,,,,NO
276,4/27/20 16:43,R_2dXC4DRHou0hlKZ,,,,,,,,0,19,20,0,0,0,3,No
249,4/27/20 16:43,R_1IXX3NmVOClYx3f,0,20,20,0,0,0,3,,,,,,,,No.
247,4/27/20 16:43,R_TdWpDxJ7HOBVVVT,0,19,20,0,1,0,3,,,,,,,,no
167,4/27/20 16:43,R_D8lf5F22miDr7uV,,,,,,,,19,20,20,19,1,1,3,nothing
130,4/27/20 16:44,R_1dtpZsYBkyUe1eZ,,,,,,,,0,19,20,0,1,0,3,
199,4/27/20 16:44,R_3dH2YfDRhT7tjuC,1,19,20,0,1,0,3,,,,,,,,"For ""how many people will know about John using the new hooks"", I responded ""1"" to represent John knowing that he is using the new hook."
980,4/27/20 16:45,R_3CDAk7eNxIYyktP,,,,,,,,19,19,20,19,1,0,2,the story is somehow logical but its cool
508,4/27/20 16:45,R_3NRk8jUqF3H40iF,,,,,,,,0,19,20,0,1,0,3,no
233,4/27/20 16:46,R_2eOy1uvnA5gF17i,,,,,,,,0,19,20,0,1,0,3,no
192,4/27/20 16:47,R_3jURM7DBNtreHOw,0,19,20,0,1,0,3,,,,,,,,no
583,4/27/20 16:48,R_3CBkKsXgow3RzeG,,,,,,,,0,0,20,0,1,0,3,none
887,4/27/20 16:48,R_2f0OETLSTDTpwqJ,,,,,,,,0,19,20,0,1,0,3,no
94,4/27/20 16:48,R_3njVywgjCjyG71a,,,,,,,,19,19,20,0,0,0,2,no
174,4/27/20 16:49,R_OfGyUvkMtNlWxCp,0,19,20,0,0,0,3,,,,,,,,
309,4/27/20 16:49,R_1GKege7PdfPSJ2H,0,19,20,0,0,0,3,,,,,,,,no
159,4/27/20 16:49,R_3KUaD2nFmQ7f7am,,,,,,,,0,19,20,0,1,0,3,no
155,4/27/20 16:50,R_Rs1G1PMO8GgVmcV,0,19,20,0,0,0,3,,,,,,,,no
468,4/27/20 16:51,R_3iwMhaOj9wPUkxJ,0,3,20,0,0,0,3,,,,,,,,
144,4/27/20 16:53,R_3LgOcGTsDENty0y,0,19,20,0,1,0,3,,,,,,,,No
70,4/27/20 16:53,R_3kOqtN1yNGnc0Jo,,,,,,,,19,20,20,0,1,0,2,none
269,4/27/20 16:53,R_2U9ICwFw8RyBtb3,,,,,,,,0,7,20,7,0,0,3,no
370,4/27/20 16:55,R_216qAeOYDohDoct,0,19,20,0,0,0,3,,,,,,,,no
174,4/27/20 16:55,R_3IcO99NgBYpcMKx,,,,,,,,0,19,20,0,1,0,3,No
231,4/27/20 16:56,R_1ff7yDmhQIh375m,19,20,20,0,1,0,3,,,,,,,,no
189,4/27/20 16:59,R_3j9FSQCdRD9DJ35,,,,,,,,0,19,20,0,1,0,3,no
133,4/27/20 17:00,R_2dDUY4XG7B1Hcjx,,,,,,,,4,2,2,4,1,1,1,NA
241,4/27/20 17:01,R_3ptfQHKcypSTgzq,,,,,,,,0,0,20,0,1,0,3,None
259,4/27/20 17:01,R_2wbIYWkBpDljbjr,1,19,20,0,0,0,3,,,,,,,,not really
478,4/27/20 17:02,R_1j9XHtWiy5PFpJB,,,,,,,,0,19,20,0,1,0,3,no
302,4/27/20 17:02,R_OqUU2ep1Tyt3MwV,0,19,20,0,1,0,2,,,,,,,,Not at all
1585,4/27/20 17:03,R_3GeJKJzOIFjBp7o,,,,,,,,0,19,20,0,1,0,3,none
442,4/27/20 17:03,R_3G9xb75JQfElcjL,0,0,20,0,1,0,2,,,,,,,,a little on the 1st section because it asks for a number when it is unclear unless you assume everyone is being honest which adds a more complex dynamic to this moral quandry
210,4/27/20 17:04,R_vcBpu8rSxKlKmIh,,,,,,,,0,19,20,0,1,0,3,no
157,4/27/20 17:04,R_1FzW8ONdp70LkNc,0,19,20,0,0,0,3,,,,,,,,Not particularly
327,4/27/20 17:04,R_38h1yW1yVrR0BvH,,,,,,,,0,19,20,0,1,0,3,no
219,4/27/20 17:05,R_3CT45vhcDQ0hmYH,,,,,,,,0,19,20,0,1,0,3,No. Everything was clear and worked as it should.
461,4/27/20 17:05,R_1rAGexE6F3Sqz9C,0,19,20,0,1,0,3,,,,,,,,"slightly, though it could be understood by taking more time to read."
149,4/27/20 17:05,R_333lShpBBxatY3k,,,,,,,,1,19,20,0,1,0,3,no
251,4/27/20 17:05,R_28AESS3exfoNZ8A,,,,,,,,0,19,20,0,1,0,3,no
364,4/27/20 17:05,R_1FdNFolr11uej4t,0,19,20,0,1,0,3,,,,,,,,the familys and amount of people going fishing. Is it 20 families or 20 people?
139,4/27/20 17:05,R_2fvcKe0PAwUWySg,19,20,2,3,1,1,1,,,,,,,,nope
135,4/27/20 17:06,R_2dDU0QpNASomkCa,,,,,,,,0,19,20,0,1,0,3,no
219,4/27/20 17:08,R_1IgY1kASnIknZCl,1,0,0,0,1,0,1,,,,,,,,No
218,4/27/20 17:08,R_3EzreGHLGeJTk6a,,,,,,,,0,19,20,0,1,0,3,no
203,4/27/20 17:08,R_1rdjdqj6Gs4571f,1,19,20,0,0,0,3,,,,,,,,no
97,4/27/20 17:09,R_3MgoWRloIAZ6bXB,,,,,,,,0,19,20,0,1,0,3,No
198,4/27/20 17:09,R_2VgxfkFqnU3eyGs,19,0,20,0,1,0,2,,,,,,,,none
121,4/27/20 17:10,R_1etNpJe6Mo13GTI,,,,,,,,0,19,20,0,1,0,3,No
1925,4/27/20 17:10,R_1EXwtHY37LOaJcV,,,,,,,,20,0,19,0,1,0,1,No
82,4/27/20 17:13,R_1C8Ezu6nGGyP9q3,0,19,20,0,0,0,3,,,,,,,,no
196,4/27/20 17:15,R_1gTT8S0aXCxQm7o,,,,,,,,0,19,20,0,1,0,2,
171,4/27/20 17:16,R_2trjV2A7blvWxAy,0,19,20,0,1,0,2,,,,,,,,no
182,4/27/20 17:17,R_3k1vSrGSk0Qr0vA,,,,,,,,19,0,20,0,1,0,3,Not at all! Very clear!
130,4/27/20 17:17,R_3ql2v88SUe7p2et,,,,,,,,0,19,20,0,1,0,3,no
220,4/27/20 17:17,R_2fHCoWrCK52qaCT,0,19,20,0,0,0,3,,,,,,,,no
339,4/27/20 17:17,R_1GJkkNdnmKfGPEd,0,19,20,0,1,0,3,,,,,,,,no
196,4/27/20 17:21,R_3NJb3KMCeTkYc5j,0,19,20,0,1,0,3,,,,,,,,No
401,4/27/20 17:23,R_3shPPGnA4NReh4i,,,,,,,,19,13,20,19,1,0,1,confusing
145,4/27/20 17:23,R_VXpo35VZBdmxpYd,0,19,20,0,1,0,2,,,,,,,,
125,4/27/20 17:23,R_3JyqxtrVMk4ViK9,,,,,,,,0,19,20,0,1,0,3,no
151,4/27/20 17:26,R_2ymGQ3U8smPHZll,,,,,,,,0,19,20,0,1,0,3,NO
262,4/27/20 17:29,R_Om6H8YjA8tLAdkR,,,,,,,,0,19,20,0,1,0,3,"no, everything was clear"
234,4/27/20 17:30,R_1gd64PzD0J0kkoh,19,19,20,0,1,0,3,,,,,,,,No
309,4/27/20 17:30,R_1gdnr6ezN9Vbd1m,19,19,20,0,1,0,3,,,,,,,,Everything was clear.
84,4/27/20 17:30,R_1OAEIxobTIugKvf,,,,,,,,20,20,19,20,1,1,1,nothing to condusion
233,4/27/20 17:31,R_1H7c9XOiRVWDV3G,0,0,20,0,1,0,3,,,,,,,,Does John own the shop? 
329,4/27/20 17:31,R_2PgJaGohF0yZYZu,,,,,,,,0,19,20,0,1,0,3,no
350,4/27/20 17:32,R_1mshX8rnWgtsRdY,,,,,,,,0,19,20,19,1,0,3,Yes. Whether the people have bought any hooks and are or not fishing with the new hooks and how can catching more fish faster not effect the fish population
64,4/27/20 17:32,R_2PjSWV3HFEVxonL,,,,,,,,4,2,3,3,1,1,1,nothing
120,4/27/20 17:33,R_333acDHuS2duOVu,,,,,,,,0,19,20,0,1,0,3,no
522,4/27/20 17:34,R_1ok9KiOCWgEklwm,,,,,,,,0,19,20,0,1,0,3,Everything was very clear
132,4/27/20 17:34,R_u8hDNgDDyHkCPcd,,,,,,,,0,19,20,0,1,0,3,no
595,4/27/20 17:35,R_bvaGwOmJMmoGFZn,19,19,20,0,1,0,2,,,,,,,,no
259,4/27/20 17:35,R_2VryP3hkuCL9XIX,0,19,20,0,1,0,3,,,,,,,,"No, it was straightforward "
159,4/27/20 17:36,R_3KoyPL0gq5TOria,,,,,,,,0,19,20,0,0,0,3,No
293,4/27/20 17:37,R_Os9gZmkHzLDMYWB,,,,,,,,19,19,20,19,1,0,3,none
261,4/27/20 17:37,R_263YMs4TFsA5c4P,0,19,20,0,1,0,3,,,,,,,,no
323,4/27/20 17:37,R_dalpkHVpPohLzt7,0,19,19,0,1,0,3,,,,,,,,"No, but I am curious if any other people will or will not use the new hooks. "
419,4/27/20 17:37,R_8Ds9wiAA5i5C797,0,19,20,0,1,0,3,,,,,,,,The answer for the first question is a little bit confusing. The answer may be 1 since the owner of small tackle shop knows that he has the new hook. I assumed that you are asking the number of vacationers who knows that.
218,4/27/20 17:37,R_2e840mldRbr34nx,,,,,,,,0,0,20,0,1,0,3,No
124,4/27/20 17:38,R_26fj46DZEo7C1TW,0,19,20,0,0,0,2,,,,,,,,No
267,4/27/20 17:38,R_3j1IAgg5EM6JUiV,0,19,20,0,1,0,3,,,,,,,,No
2091,4/27/20 17:38,R_cuwqFmBb9s0iVVf,,,,,,,,20,19,20,19,1,1,3,confusing
162,4/27/20 17:38,R_dm4mSUJfplZYcG5,,,,,,,,0,19,20,0,1,0,3,No
535,4/27/20 17:41,R_6n7oEnZLedCUIrT,2,5,20,0,1,0,3,,,,,,,,no
173,4/27/20 17:42,R_1KfHqDWvP3eZXhb,1,0,20,0,1,0,3,,,,,,,,No
189,4/27/20 17:42,R_3DwkIvIe4gOg5yS,,,,,,,,0,19,20,0,0,0,2,the last question: does your question mean less healthy as in less fish in the lake due to him catching more? Or just the overall health of the fish?
194,4/27/20 17:42,R_3rM178kEBYl2L13,,,,,,,,0,19,20,0,1,0,3,nope
169,4/27/20 17:42,R_1f7dutJ5vgNO9qM,,,,,,,,0,19,20,0,1,0,3,No
292,4/27/20 17:43,R_1eRHD6EGjje8Yjo,0,19,20,0,0,0,3,,,,,,,,no
202,4/27/20 17:43,R_UGrXD1ZJdJRffWN,,,,,,,,0,19,20,0,1,0,3,
288,4/27/20 17:44,R_3hltbleHBTH2ZCj,1,19,20,0,1,0,3,,,,,,,,no
193,4/27/20 17:46,R_3lJpSpqt8IXMuoi,0,19,20,0,0,0,3,,,,,,,,nothing was unclear.
137,4/27/20 17:46,R_1CkzVEFStHxYIbU,,,,,,,,0,19,20,0,1,0,3,
158,4/27/20 17:47,R_12h8T4c6Fe7bYfl,,,,,,,,0,0,20,0,1,0,3,
320,4/27/20 17:49,R_31v1leu28IZuq4R,0,19,20,0,0,0,3,,,,,,,,no
308,4/27/20 17:50,R_1jIHc4q6Z9Qbe4g,19,0,20,0,1,0,3,,,,,,,,
171,4/27/20 17:50,R_1JCUDbmtWxlVGa5,,,,,,,,0,19,20,0,0,0,3,No
